constant_name	type	scope	category	api_private_current	defining_file	notes
Git::Repository::Factories	module	internal	topic-module	yes	lib/git/repository/factories.rb	Organizational container; @api private set in PR 1597; its methods are public
Git::Repository::Inspecting	module	internal	topic-module	no	lib/git/repository/inspecting.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::Logging	module	internal	topic-module	no	lib/git/repository/logging.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::Maintenance	module	internal	topic-module	no	lib/git/repository/maintenance.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::Merging	module	internal	topic-module	no	lib/git/repository/merging.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::ObjectOperations	module	internal	topic-module	no	lib/git/repository/object_operations.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::PathResolver	module	internal	plumbing	yes	lib/git/repository/path_resolver.rb	Internal path resolution helper; already @api private
Git::Repository::RemoteOperations	module	internal	topic-module	no	lib/git/repository/remote_operations.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::Staging	module	internal	topic-module	no	lib/git/repository/staging.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::Stashing	module	internal	topic-module	no	lib/git/repository/stashing.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::StatusOperations	module	internal	topic-module	no	lib/git/repository/status_operations.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::Repository::WorktreeOperations	module	internal	topic-module	no	lib/git/repository/worktree_operations.rb	Organizational container; currently @api public — C1c will flip to @api private; its methods are public
Git::SignaledError	class	public	error	no	lib/git/errors.rb	Public exception class raised by facade methods
Git::Stash	class	public	return-type	no	lib/git/stash.rb	Public return type from facade methods
Git::StashInfo	class	public	value-object	no	lib/git/stash_info.rb	Public value object returned from facade methods
Git::Stashes	class	public	return-type	no	lib/git/stashes.rb	Public return type from facade methods
Git::Status	class	public	return-type	no	lib/git/status.rb	Public return type from facade methods
Git::Status::StatusFile	class	public	return-type	no	lib/git/status.rb	Public return type from facade methods
Git::Status::StatusFileFactory	class	internal	plumbing	yes	lib/git/status.rb	Internal factory for StatusFile objects; not part of public API
Git::TagDeleteFailure	class	public	value-object	no	lib/git/tag_delete_failure.rb	Public value object returned from facade methods
Git::TagDeleteResult	class	public	value-object	no	lib/git/tag_delete_result.rb	Public value object returned from facade methods
Git::TagInfo	class	public	value-object	no	lib/git/tag_info.rb	Public value object returned from facade methods
Git::TimeoutError	class	public	error	no	lib/git/errors.rb	Public exception class raised by facade methods
Git::URL	class	internal	plumbing	no	lib/git/url.rb	Internal URL utility used by clone/remote internals; never returned to users
Git::UnexpectedResultError	class	public	error	no	lib/git/errors.rb	Public exception class raised by facade methods
Git::Version	class	internal	plumbing	no	lib/git/version.rb	Internal version type used by command layer; surfaces in Git::VersionError but users don't need to instantiate or subclass it
Git::VersionConstraint	class	internal	plumbing	no	lib/git/version_constraint.rb	Internal constraint type used by Git::Commands::Base; surfaces via Git::VersionError#constraint but users don't need to construct or depend on it
Git::VersionError	class	public	error	no	lib/git/errors.rb	Public exception class raised by facade methods
Git::Worktree	class	public	return-type	no	lib/git/worktree.rb	Public return type from facade methods
Git::Worktrees	class	public	return-type	no	lib/git/worktrees.rb	Public return type from facade methods
